Date,SPX
01/02/2008,1447.16
01/03/2008,1447.16
01/04/2008,1411.63
01/07/2008,1416.18
01/08/2008,1390.19
01/09/2008,1409.13
01/10/2008,1420.33
01/11/2008,1401.02
01/14/2008,1416.25
01/15/2008,1380.95
01/16/2008,1373.20
01/17/2008,1333.25
01/18/2008,1325.19
01/22/2008,1310.50
01/23/2008,1338.60
01/24/2008,1352.07
01/25/2008,1330.61
01/28/2008,1353.96
01/29/2008,1362.30
01/30/2008,1355.81
01/31/2008,1378.55
02/01/2008,1395.42
02/04/2008,1380.82
02/05/2008,1336.64
02/06/2008,1326.45
02/07/2008,1336.91
02/08/2008,1331.29
02/11/2008,1339.13
02/12/2008,1348.86
02/13/2008,1367.21
02/14/2008,1348.86
02/15/2008,1349.99
02/19/2008,1348.78
02/20/2008,1360.03
02/21/2008,1342.53
02/22/2008,1353.11
02/25/2008,1371.80
02/26/2008,1381.29
02/27/2008,1380.02
02/28/2008,1367.68
02/29/2008,1330.63
03/03/2008,1331.34
03/04/2008,1326.75
03/05/2008,1333.70
03/06/2008,1304.34
03/07/2008,1293.37
03/10/2008,1273.37
03/11/2008,1320.65
03/12/2008,1308.77
03/13/2008,1315.48
03/14/2008,1288.14
03/17/2008,1276.60
03/18/2008,1330.74
03/19/2008,1298.42
03/20/2008,1329.51
03/24/2008,1349.88
03/25/2008,1352.99
03/26/2008,1341.13
03/27/2008,1325.76
03/28/2008,1315.22
03/31/2008,1322.70
04/01/2008,1370.18
04/02/2008,1367.53
04/03/2008,1369.31
04/04/2008,1370.40
04/07/2008,1372.54
04/08/2008,1365.54
04/09/2008,1354.49
04/10/2008,1360.55
04/11/2008,1332.83
04/14/2008,1328.32
04/15/2008,1334.43
04/16/2008,1364.71
04/17/2008,1365.56
04/18/2008,1390.33
04/21/2008,1388.17
04/22/2008,1375.94
04/23/2008,1379.93
04/24/2008,1388.82
04/25/2008,1397.84
04/28/2008,1396.37
04/29/2008,1390.94
04/30/2008,1385.59
05/01/2008,1409.34
05/02/2008,1413.90
05/05/2008,1407.49
05/06/2008,1418.26
05/07/2008,1392.57
05/08/2008,1397.68
05/09/2008,1388.28
05/12/2008,1403.58
05/13/2008,1403.04
05/14/2008,1408.66
05/15/2008,1423.57
05/16/2008,1425.35
05/19/2008,1426.63
05/20/2008,1413.40
05/21/2008,1390.71
05/22/2008,1394.35
05/23/2008,1375.93
05/27/2008,1385.35
05/28/2008,1390.84
05/29/2008,1398.26
05/30/2008,1400.38
06/02/2008,1385.67
06/03/2008,1377.65
06/04/2008,1377.20
06/05/2008,1404.05
06/06/2008,1360.68
06/09/2008,1361.76
06/10/2008,1358.44
06/11/2008,1335.49
06/12/2008,1339.87
06/13/2008,1360.03
06/16/2008,1360.14
06/17/2008,1350.93
06/18/2008,1337.81
06/19/2008,1342.83
06/20/2008,1317.93
06/23/2008,1318.00
06/24/2008,1314.29
06/25/2008,1321.97
06/26/2008,1283.15
06/27/2008,1278.38
06/30/2008,1280.00
07/01/2008,1284.91
07/02/2008,1261.52
07/03/2008,1262.90
07/07/2008,1252.31
07/08/2008,1273.70
07/09/2008,1244.69
07/10/2008,1253.39
07/11/2008,1239.49
07/14/2008,1228.30
07/15/2008,1214.91
07/16/2008,1245.36
07/17/2008,1260.32
07/18/2008,1260.68
07/21/2008,1260.00
07/22/2008,1277.00
07/23/2008,1282.19
07/24/2008,1252.54
07/25/2008,1257.76
07/28/2008,1234.37
07/29/2008,1263.20
07/30/2008,1284.26
07/31/2008,1267.38
08/01/2008,1260.31
08/04/2008,1249.01
08/05/2008,1284.88
08/06/2008,1289.19
08/07/2008,1266.07
08/08/2008,1296.32
08/11/2008,1305.32
08/12/2008,1289.59
08/13/2008,1285.83
08/14/2008,1292.93
08/15/2008,1298.20
08/18/2008,1278.60
08/19/2008,1266.69
08/20/2008,1274.54
08/21/2008,1277.72
08/22/2008,1292.20
08/25/2008,1266.84
08/26/2008,1271.51
08/27/2008,1281.66
08/28/2008,1300.68
08/29/2008,1282.83
09/02/2008,1277.58
09/03/2008,1274.98
09/04/2008,1236.83
09/05/2008,1242.31
09/08/2008,1267.79
09/09/2008,1224.51
09/10/2008,1232.04
09/11/2008,1249.05
09/12/2008,1251.70
09/15/2008,1192.70
09/16/2008,1213.60
09/17/2008,1156.39
09/18/2008,1206.51
09/19/2008,1255.08
09/22/2008,1207.09
09/23/2008,1188.22
09/24/2008,1185.87
09/25/2008,1209.18
09/26/2008,1213.27
09/29/2008,1106.42
09/30/2008,1166.36
10/01/2008,1161.06
10/02/2008,1114.28
10/03/2008,1099.23
10/06/2008,1056.89
10/07/2008,996.23
10/08/2008,984.94
10/09/2008,909.92
10/10/2008,899.22
10/13/2008,1003.35
10/14/2008,998.01
10/15/2008,907.84
10/16/2008,946.43
10/17/2008,940.55
10/20/2008,985.40
10/21/2008,955.05
10/22/2008,896.78
10/23/2008,908.11
10/24/2008,876.77
10/27/2008,848.92
10/28/2008,940.51
10/29/2008,930.09
10/30/2008,954.09
10/31/2008,968.75
11/03/2008,966.30
11/04/2008,1005.75
11/05/2008,952.77
11/06/2008,904.88
11/07/2008,930.99
11/10/2008,919.21
11/11/2008,898.95
11/12/2008,852.30
11/13/2008,911.29
11/14/2008,873.29
11/17/2008,850.75
11/18/2008,859.12
11/19/2008,806.58
11/20/2008,752.44
11/21/2008,800.03
11/24/2008,851.81
11/25/2008,857.39
11/26/2008,887.68
11/28/2008,896.24
12/01/2008,816.21
12/02/2008,848.81
12/03/2008,870.74
12/04/2008,845.22
12/05/2008,876.07
12/08/2008,909.70
12/09/2008,888.67
12/10/2008,899.24
12/11/2008,873.59
12/12/2008,879.73
12/15/2008,868.57
12/16/2008,913.18
12/17/2008,904.42
12/18/2008,885.28
12/19/2008,887.88
12/22/2008,871.63
12/23/2008,863.16
12/24/2008,868.15
12/26/2008,872.80
12/29/2008,869.42
12/30/2008,890.64
12/31/2008,903.25
01/02/2009,931.80
01/05/2009,927.45
01/06/2009,934.70
01/07/2009,906.65
01/08/2009,909.73
01/09/2009,890.35
01/12/2009,870.26
01/13/2009,871.79
01/14/2009,842.62
01/15/2009,843.74
01/16/2009,850.12
01/20/2009,805.22
01/21/2009,840.24
01/22/2009,827.50
01/23/2009,831.95
01/26/2009,836.57
01/27/2009,845.71
01/28/2009,874.09
01/29/2009,845.14
01/30/2009,825.88
02/02/2009,825.44
02/03/2009,838.51
02/04/2009,832.23
02/05/2009,845.85
02/06/2009,868.60
02/09/2009,869.89
02/10/2009,827.16
02/11/2009,833.74
02/12/2009,835.19
02/13/2009,826.84
02/17/2009,789.17
02/18/2009,788.42
02/19/2009,778.94
02/20/2009,770.05
02/23/2009,743.33
02/24/2009,773.14
02/25/2009,764.90
02/26/2009,752.83
02/27/2009,735.09
03/02/2009,700.82
03/03/2009,696.33
03/04/2009,712.87
03/05/2009,682.55
03/06/2009,683.38
03/09/2009,676.53
03/10/2009,719.60
03/11/2009,721.36
03/12/2009,750.74
03/13/2009,756.55
03/16/2009,753.89
03/17/2009,778.12
03/18/2009,794.35
03/19/2009,784.04
03/20/2009,768.54
03/23/2009,822.92
03/24/2009,806.12
03/25/2009,813.88
03/26/2009,832.86
03/27/2009,815.94
03/30/2009,787.53
03/31/2009,797.87
04/01/2009,811.08
04/02/2009,834.38
04/03/2009,842.50
04/06/2009,835.48
04/07/2009,815.55
04/08/2009,825.16
04/09/2009,856.56
04/13/2009,858.73
04/14/2009,841.50
04/15/2009,852.06
04/16/2009,865.30
04/17/2009,869.60
04/20/2009,832.39
04/21/2009,850.08
04/22/2009,843.55
04/23/2009,851.92
04/24/2009,866.23
04/27/2009,857.51
04/28/2009,855.16
04/29/2009,873.64
04/30/2009,872.81
05/01/2009,877.52
05/04/2009,907.24
05/05/2009,903.80
05/06/2009,919.53
05/07/2009,907.39
05/08/2009,929.23
05/11/2009,909.24
05/12/2009,908.35
05/13/2009,883.92
05/14/2009,893.07
05/15/2009,882.88
05/18/2009,909.71
05/19/2009,908.13
05/20/2009,903.47
05/21/2009,888.33
05/22/2009,887.00
05/26/2009,910.33
05/27/2009,893.06
05/28/2009,906.83
05/29/2009,919.14
06/01/2009,942.87
06/02/2009,944.74
06/03/2009,931.76
06/04/2009,942.46
06/05/2009,940.09
06/08/2009,939.14
06/09/2009,942.43
06/10/2009,939.15
06/11/2009,944.89
06/12/2009,946.21
06/15/2009,923.72
06/16/2009,911.97
06/17/2009,910.71
06/18/2009,918.37
06/19/2009,921.23
06/22/2009,893.04
06/23/2009,895.10
06/24/2009,900.94
06/25/2009,920.26
06/26/2009,918.90
06/29/2009,927.23
06/30/2009,919.32
07/01/2009,923.33
07/02/2009,896.42
07/06/2009,898.72
07/07/2009,881.03
07/08/2009,879.56
07/09/2009,882.68
07/10/2009,879.13
07/13/2009,901.05
07/14/2009,905.84
07/15/2009,932.68
07/16/2009,940.74
07/17/2009,940.38
07/20/2009,951.13
07/21/2009,954.58
07/22/2009,954.07
07/23/2009,976.29
07/24/2009,979.26
07/27/2009,982.18
07/28/2009,979.62
07/29/2009,975.15
07/30/2009,986.75
07/31/2009,987.48
08/03/2009,1002.63
08/04/2009,1005.65
08/05/2009,1002.72
08/06/2009,997.08
08/07/2009,1010.48
08/10/2009,1007.10
08/11/2009,994.35
08/12/2009,1005.81
08/13/2009,1012.73
08/14/2009,1004.09
08/17/2009,979.73
08/18/2009,989.67
08/19/2009,996.46
08/20/2009,1007.37
08/21/2009,1026.13
08/24/2009,1025.57
08/25/2009,1028.00
08/26/2009,1028.12
08/27/2009,1030.98
08/28/2009,1028.93
08/31/2009,1020.62
09/01/2009,998.04
09/02/2009,994.75
09/03/2009,1003.24
09/04/2009,1016.40
09/08/2009,1025.39
09/09/2009,1033.37
09/10/2009,1044.14
09/11/2009,1042.73
09/14/2009,1049.34
09/15/2009,1052.63
09/16/2009,1068.76
09/17/2009,1065.49
09/18/2009,1068.30
09/21/2009,1064.66
09/22/2009,1071.66
09/23/2009,1060.87
09/24/2009,1050.78
09/25/2009,1044.38
09/28/2009,1062.98
09/29/2009,1060.61
09/30/2009,1057.08
10/01/2009,1029.85
10/02/2009,1025.21
10/05/2009,1040.46
10/06/2009,1054.72
10/07/2009,1057.58
10/08/2009,1065.48
10/09/2009,1071.49
10/12/2009,1076.19
10/13/2009,1073.19
10/14/2009,1092.02
10/15/2009,1096.56
10/16/2009,1087.68
10/19/2009,1097.91
10/20/2009,1091.06
10/21/2009,1081.40
10/22/2009,1092.91
10/23/2009,1079.60
10/26/2009,1066.95
10/27/2009,1063.41
10/28/2009,1042.63
